Time (s) Run #7,Geiger Counts (counts/sample) Run #7,Geiger Counts (counts/sample) Run #8,Geiger Counts (counts/sample) Run #9,Geiger Counts (counts/sample) Run #10,Geiger Counts (counts/sample) Run #11,Geiger Counts (counts/sample) Run #12,Geiger Counts (counts/sample) Run #13,Geiger Counts (counts/sample) Run #14,Geiger Counts (counts/sample) Run #15,Geiger Counts (counts/sample) Run #16,Geiger Counts (counts/sample) Run #17,Geiger Counts (counts/sample) Run #18,Geiger Counts (counts/sample) Run #19,Geiger Counts (counts/sample) Run #20,Geiger Counts (counts/sample) Run #21,Geiger Counts (counts/sample) Run #22,Geiger Counts (counts/sample) Run #23,Geiger Counts (counts/sample) Run #24,Geiger Counts (counts/sample) Run #25,Geiger Counts (counts/sample) Run #26
6.5,2,2,2,0,0,1,2,2,1,3,1,4,2,0,1,4,1,2,2,1
6.6,2,2,2,1,2,0,0,0,1,2,2,1,1,1,2,4,3,0,3,1
6.7,3,0,1,1,2,1,1,1,2,1,1,3,0,2,1,0,3,0,3,1
6.8,3,2,0,3,2,2,1,1,0,2,3,1,4,0,4,1,2,0,4,0
6.9,5,2,2,1,2,1,0,1,2,5,3,2,0,0,3,4,4,0,3,3
7,1,1,4,3,0,1,2,2,1,2,2,2,1,1,1,2,0,1,2,4
7.1,3,1,1,3,1,0,1,1,2,2,1,1,1,2,0,2,0,3,0,1
7.2,0,2,6,3,2,0,3,1,3,2,0,2,0,1,2,1,4,1,2,2
7.3,4,2,0,1,1,1,2,1,0,2,0,1,2,0,0,1,1,0,0,1
7.4,1,0,2,4,0,3,1,1,1,3,3,0,2,1,3,0,3,2,0,1
7.5,5,2,2,2,3,1,1,3,3,2,2,2,0,2,1,1,0,0,2,2
7.6,2,0,1,0,1,3,1,2,1,2,1,2,1,2,2,4,2,1,0,0
7.7,1,3,3,3,0,1,2,0,2,2,2,4,1,0,1,3,3,3,3,2
7.8,2,0,1,2,1,2,1,1,1,1,0,0,0,0,1,0,0,1,1,2
7.9,0,2,2,1,2,1,1,1,1,2,1,0,5,1,4,0,1,1,3,5
8,5,1,3,0,3,1,3,0,2,3,3,1,1,2,3,3,2,2,3,0
8.1,0,1,1,0,2,1,1,2,1,1,1,0,2,0,1,1,1,1,2,1
8.2,0,0,1,0,4,3,0,2,3,2,3,2,2,1,3,0,2,1,3,1
8.3,1,1,2,2,0,2,2,3,1,0,2,2,0,1,1,1,0,1,1,1
8.4,2,1,1,3,3,0,3,2,0,1,2,2,3,1,0,2,0,0,0,2
8.5,1,1,2,1,1,2,1,2,3,2,1,0,1,1,1,0,3,1,0,2
8.6,2,0,1,1,3,1,3,1,3,2,0,2,0,2,0,0,0,2,2,1
8.7,2,2,2,3,1,1,2,2,1,1,1,1,0,0,0,1,3,1,1,2
8.8,1,3,0,1,0,2,1,0,2,4,0,2,0,2,2,1,2,1,2,1
8.9,3,1,1,1,3,2,0,2,1,1,4,0,1,0,3,0,5,2,2,3
9,1,2,2,1,2,3,0,2,3,1,1,5,2,2,1,0,2,0,2,2
9.1,1,2,1,1,1,2,1,1,2,1,1,2,2,1,3,1,1,4,1,3
9.2,2,2,0,3,0,1,2,3,0,3,3,1,1,2,1,5,3,3,0,1
9.3,1,1,3,0,0,0,3,1,0,0,1,3,0,0,2,0,1,2,1,1
9.4,2,3,2,2,2,0,0,3,1,2,2,2,0,1,2,0,4,0,1,1
9.5,1,1,2,2,1,0,2,1,0,0,2,2,2,0,1,1,1,0,1,2
9.6,1,3,1,1,1,1,4,2,3,1,1,2,1,0,1,2,1,2,2,2
9.7,2,1,2,3,3,2,1,0,2,2,0,2,1,2,2,4,2,3,1,3
9.8,6,0,2,3,2,3,3,1,1,0,0,2,3,2,1,3,1,2,0,2
